distance,duration,departure_hour,weather_risk,traffic,delay
8317,760,1,0.08,0.85,0
1372,194,3,0.45,0.64,0
7413,847,14,0.87,0.48,0
1706,401,14,0.72,0.87,1
10909,1138,18,0.99,0.79,1
3039,491,15,0.63,0.52,0
12660,1272,1,0.24,0.81,0
13308,1352,4,0.22,0.68,1
1159,432,6,0.22,0.12,0
2972,445,22,0.31,0.68,0
4210,474,1,0.78,0.23,0
1160,244,11,0.27,0.11,0
8225,788,3,0.15,0.71,0
12376,1002,8,0.55,0.51,0
13003,1314,3,0.77,0.54,0
10259,1118,14,0.23,0.69,0
3181,544,16,0.04,0.59,0
4854,718,17,0.4,0.87,1
1638,396,5,0.03,0.95,0
10204,1037,6,0.91,0.77,0
7348,907,2,0.91,0.75,0
8859,744,14,0.65,0.7,0
13284,1264,8,0.27,0.27,1
9940,984,2,0.04,0.34,0
8214,765,10,0.33,0.46,1
2678,518,23,0.05,0.49,0
5938,594,7,0.02,0.16,0
3944,603,22,0.91,0.37,1
6633,643,15,0.78,0.73,0
11924,1029,7,0.07,0.12,1
5705,521,23,0.39,0.96,1
3599,542,14,0.44,0.37,0
3160,535,14,0.47,0.65,0
5507,681,0,0.35,0.7,0
7456,788,20,0.91,0.29,0
1998,404,17,0.23,0.69,0
8154,929,15,0.09,0.7,0
7562,708,19,0.13,0.09,0
13318,1156,12,0.77,0.33,0
10781,869,17,0.91,0.09,1
1523,420,22,0.47,0.24,0
9493,851,23,0.41,0.48,0
10614,1132,15,0.68,0.05,0
4046,525,1,0.73,0.09,1
11239,978,5,0.47,0.87,0
7048,723,21,0.69,0.73,0
5639,728,5,0.44,0.91,0
3862,497,9,0.8,0.82,0
8531,737,14,0.31,0.41,0
7348,841,18,0.77,0.75,1
1094,334,3,0.22,0.43,0
3708,435,14,0.38,0.82,1
12805,1124,0,0.54,0.52,0
10236,841,19,0.07,0.5,1
2350,318,12,0.22,0.8,0
13907,1387,3,0.37,0.48,1
7369,699,5,0.71,0.76,0
10958,983,6,0.32,0.13,0
9314,905,9,0.23,0.67,0
4008,616,8,0.03,0.89,0
6813,637,1,0.04,0.25,1
2139,496,5,0.5,0.65,0
8888,929,21,0.42,0.91,0
9406,870,0,0.19,0.1,0
13218,1187,1,0.62,0.22,0
6739,606,6,0.49,0.89,0
5224,722,3,0.3,0.65,0
13063,1233,15,0.56,0.86,0
10119,966,10,0.07,0.15,0
5453,686,11,0.25,0.51,0
10338,969,1,0.37,0.4,0
12196,1151,20,0.81,0.58,1
5131,471,3,0.05,0.46,0
9991,1040,22,0.81,0.61,0
3280,479,15,0.79,0.66,1
3109,382,10,0.62,0.89,0
11847,1028,5,0.96,0.17,1
5676,776,11,0.93,0.63,1
1218,382,18,0.32,0.13,0
8011,900,14,0.15,0.62,0
8945,996,6,0.56,0.96,1
2318,441,6,0.54,0.4,0
13366,1309,19,0.92,0.01,0
1630,417,6,0.47,0.14,0
12861,1081,15,0.39,0.53,0
2129,365,20,0.67,0.36,0
12121,1062,19,0.08,0.94,1
6453,552,21,0.83,0.75,1
5927,540,20,0.27,0.18,0
4668,577,22,0.4,0.71,0
10721,983,11,0.9,0.08,0
5916,764,20,0.41,0.42,0
9852,821,11,0.54,0.39,1
1097,276,7,0.34,0.7,0
10932,977,2,0.44,0.42,0
1546,452,21,0.82,0.33,1
11567,966,8,0.45,0.59,1
13557,1167,13,0.34,0.53,0
10919,1127,11,1.0,0.51,1
8745,959,17,0.93,0.84,1
7869,913,20,0.04,0.4,0
10410,1121,16,0.55,0.29,0
8778,817,5,0.08,0.64,0
13529,1239,9,0.32,0.29,0
12169,1208,0,0.4,0.52,0
6601,728,17,0.72,0.67,1
13965,1298,13,0.28,0.94,1
3730,577,22,0.37,0.08,0
12895,1191,13,0.36,0.47,1
2383,414,12,0.16,0.4,0
10248,1103,2,0.54,0.82,1
10631,933,0,0.05,0.33,0
2670,476,23,0.76,0.28,0
7702,657,12,0.98,0.4,1
13764,1194,5,0.24,0.33,0
9826,903,16,0.52,0.73,1
11713,983,8,0.58,0.65,1
5679,746,10,0.93,0.69,0
11324,998,23,0.01,0.94,0
8123,833,6,0.26,0.61,0
13597,1123,1,0.57,0.02,0
2350,236,1,0.02,0.9,0
7540,834,2,0.47,0.01,0
7652,764,9,0.69,0.92,0
2138,420,4,0.95,0.69,0
6663,560,4,0.86,0.61,1
13524,1156,11,0.06,0.09,1
10402,899,11,0.96,0.37,0
10592,934,15,0.07,0.59,0
13211,1251,3,0.38,0.29,0
13887,1198,6,0.53,0.11,0
13514,1315,21,0.04,0.44,0
5811,652,12,0.02,0.22,0
7148,731,18,0.12,0.74,1
9971,910,3,0.93,0.96,1
6224,641,8,0.6,0.38,1
9028,883,2,0.64,0.84,0
4625,637,11,0.1,0.11,0
13006,1244,22,0.38,0.69,0
4106,599,21,0.87,0.19,0
8295,952,12,0.03,0.81,1
11230,1113,6,0.89,0.37,1
11918,961,2,0.14,0.66,0
10285,872,8,0.92,0.59,1
3116,457,6,0.89,0.34,0
1123,186,18,0.39,0.27,0
1951,378,19,0.86,0.97,1
11854,1249,18,0.1,0.31,0
2152,223,4,0.04,0.76,0
11915,1196,0,0.63,0.07,0
11406,1134,0,0.85,0.94,1
2627,260,1,0.29,0.54,0
6794,642,2,0.04,0.06,0
8071,825,9,0.18,0.68,0
8101,931,12,0.81,0.18,0
13228,1216,8,0.28,0.09,1
6688,756,15,0.21,0.73,0
12435,1202,18,0.84,0.47,1
7224,729,21,0.52,0.49,0
6479,813,23,0.19,0.56,0
11926,1124,2,0.46,0.36,1
5983,745,15,0.02,0.31,0
1119,371,12,0.13,0.88,0
6930,754,6,0.55,0.46,0
4538,685,7,0.16,0.82,0
3642,398,10,0.06,0.87,1
9675,892,14,0.24,0.75,0
4799,420,2,0.26,0.95,0
8909,914,0,0.25,0.06,0
6353,687,2,0.54,0.7,1
10581,1106,3,0.84,0.81,1
1321,300,8,0.22,0.04,0
10566,1128,1,0.82,0.59,0
5164,468,21,0.58,0.41,1
12944,1300,15,0.88,0.4,1
9629,982,11,0.33,0.67,0
6759,660,14,0.44,0.52,0
7000,807,9,0.31,0.14,1
9088,915,0,0.09,0.21,0
3137,503,14,0.31,0.28,0
13501,1160,2,0.42,0.06,0
6821,660,6,0.51,0.1,0
9970,1037,2,0.69,0.18,1
12475,1108,21,0.32,0.88,0
4611,466,5,0.25,0.29,0
7279,714,12,0.15,0.23,0
9034,910,20,0.35,0.22,0
11349,1063,15,0.98,0.65,1
13680,1308,10,0.98,0.36,1
8063,846,9,0.92,0.63,1
11191,1199,2,0.35,0.64,0
9017,848,20,0.03,0.24,0
9359,925,16,0.93,0.92,0
12082,1125,20,0.86,0.94,1
12644,1110,13,0.53,0.41,0
8536,860,0,0.32,0.08,0
6687,741,11,0.8,0.04,0
10751,1145,3,0.56,0.4,0
7244,656,2,0.37,0.53,1
8995,770,23,0.5,0.83,0
1128,184,23,0.19,0.41,0
2914,460,12,0.17,0.87,1
7395,638,11,0.64,0.98,0
7615,877,13,0.61,0.34,0
13514,1150,12,0.88,0.79,0
13705,1121,19,0.82,0.3,1
10535,850,22,0.13,0.25,0
2726,280,22,0.47,0.25,0
8400,877,19,0.83,0.12,1
1585,281,9,0.51,0.56,0
2006,376,13,0.71,0.96,1
2337,461,4,0.78,0.08,1
11715,1081,12,0.21,0.81,0
9601,977,23,0.45,0.02,1
9804,1048,17,0.94,0.21,1
6234,681,9,0.36,0.19,0
4642,456,4,0.36,0.9,1
10459,1141,15,0.19,0.82,1
11670,945,10,0.28,0.01,0
7746,770,15,0.11,0.56,0
12334,1051,20,0.59,0.19,0
2812,367,2,0.3,0.33,0
4832,566,17,0.65,0.78,0
13796,1105,14,0.76,0.85,0
6680,826,8,0.33,0.3,1
3647,560,23,0.48,0.38,1
2569,535,1,0.42,0.43,0
6500,637,14,0.59,0.75,0
5648,613,8,0.35,0.94,0
10646,877,12,0.44,0.3,1
13002,1038,17,0.19,0.42,0
5837,599,23,0.49,0.02,0
5197,534,10,0.44,0.73,0
5416,560,7,0.46,0.24,1
5228,741,14,0.13,0.31,0
9522,1034,20,0.65,0.94,1
3642,503,7,0.34,0.18,0
8328,912,8,0.65,0.64,1
4769,682,8,0.49,0.11,0
1155,319,16,0.88,0.88,0
12932,1200,4,0.16,0.79,0
11266,986,23,0.91,0.03,1
11385,989,6,0.66,0.28,0
1773,288,7,0.68,0.54,0
10060,968,11,0.92,0.84,1
1538,202,4,0.1,0.66,0
9897,903,12,0.38,0.57,0
4092,574,10,0.51,0.73,0
11097,928,19,0.58,0.54,0
12366,1045,7,0.71,0.9,1
6164,686,7,0.7,0.6,0
4111,619,10,0.58,0.87,1
4424,436,16,0.65,0.53,0
7513,837,12,0.23,0.81,1
9391,781,19,0.08,0.34,0
7211,861,5,0.3,0.79,0
13389,1246,21,0.99,0.67,1
12052,1096,1,0.94,0.43,0
9094,945,11,0.1,0.18,0
8904,867,19,0.89,0.46,0
6708,614,6,0.51,0.26,0
3691,625,6,0.22,0.67,0
6418,596,10,0.69,0.15,0
4500,423,19,0.82,0.3,1
6605,845,13,0.45,0.98,0
11977,1179,2,0.17,0.56,0
4579,520,9,0.26,0.31,0
10502,1043,18,0.73,0.78,1
3453,508,21,0.17,0.62,0
11528,1038,15,0.96,0.75,0
11777,1024,19,0.05,0.93,1
13018,1077,22,0.39,0.66,0
12302,1117,8,0.78,0.45,0
9613,1010,6,0.13,0.46,0
2591,460,19,0.25,0.84,0
3344,511,19,0.5,0.95,1
12713,1252,21,0.06,0.11,0
10363,1121,21,0.46,0.95,1
13313,1197,2,0.58,0.58,0
10597,1152,9,0.72,0.7,1
6216,588,3,0.92,0.29,0
6103,584,4,0.89,0.31,1
2341,320,5,0.52,0.33,0
9215,1040,20,0.78,0.22,0
10168,881,1,0.74,0.35,0
4666,453,17,0.57,0.12,1
11583,1226,5,0.26,0.04,0
3469,597,20,0.36,0.67,0
12896,1261,5,0.4,0.87,1
6487,572,16,0.07,0.55,0
1864,336,21,0.77,0.74,0
12258,1208,19,0.02,0.21,1
1754,389,8,0.15,0.65,1
6896,868,16,0.28,0.53,0
7527,664,17,0.72,0.42,0
9493,915,2,0.99,0.08,1
10330,1028,1,0.35,0.89,1
9187,770,22,0.39,0.46,0
3281,506,8,0.71,0.79,1
2816,396,16,0.8,0.53,1
6248,768,3,0.9,0.43,0
9305,900,15,0.73,0.92,1
1732,215,18,0.43,0.41,1
10393,982,16,0.24,0.8,0
11324,1089,12,0.72,0.12,0
9242,926,17,0.92,0.41,0
8200,944,19,0.33,0.73,0
8381,860,6,0.61,0.04,0
2242,520,18,0.21,0.38,1
13855,1376,22,0.74,0.98,1
12819,1245,20,0.79,0.29,1
13124,1140,12,0.54,0.45,0
12051,1074,14,0.08,0.07,0
9817,1074,0,0.46,0.96,0
12309,1058,1,0.25,0.41,0
7190,761,13,0.39,0.69,0
4436,592,6,0.98,0.55,0
4421,464,21,0.81,0.88,1
1952,351,5,0.1,0.23,0
10350,1117,5,0.9,0.3,0
10221,936,15,0.72,0.92,1
4796,521,10,0.77,0.83,0
13201,1161,23,0.49,0.47,0
10782,871,2,0.18,0.13,0
11174,964,19,0.15,0.02,1
8273,687,23,0.29,0.88,0
12689,1014,21,0.55,0.32,0
8741,866,19,0.64,0.93,1
4700,491,17,0.13,0.87,0
7922,813,19,0.24,0.84,0
10190,938,2,0.24,0.01,1
12226,1087,7,0.56,0.83,0
13280,1289,23,0.77,0.97,0
7628,667,9,0.72,0.06,1
7783,682,19,0.29,0.36,0
2429,405,17,0.11,0.11,1
7520,771,21,0.9,0.8,0
10478,939,5,0.93,0.06,0
13177,1306,18,0.71,0.87,1
9562,1074,6,0.64,0.15,1
1635,468,19,0.79,0.69,0
8877,806,7,0.15,0.8,0
12021,1215,9,1.0,0.44,1
1567,223,19,0.89,0.31,1
9338,1034,6,0.31,0.94,1
6558,678,15,0.29,0.27,0
2509,501,16,0.33,0.26,0
1709,267,6,0.58,0.51,0
2336,263,19,0.07,0.44,1
2535,255,9,0.64,0.74,0
10471,934,7,0.97,0.9,1
13246,1131,9,0.14,0.05,0
7390,718,3,0.06,0.38,0
10180,973,9,0.9,0.95,1
13846,1337,13,0.83,0.92,1
2432,482,13,0.63,0.44,0
7832,711,23,0.87,0.3,0
9067,927,22,0.55,0.09,0
12280,1139,2,0.05,0.03,0
3458,495,18,0.64,0.21,0
2584,312,15,0.41,0.16,0
2947,444,4,0.89,0.83,1
1689,344,19,0.91,0.94,0
5494,686,18,0.02,0.84,0
11538,1225,23,0.33,1.0,0
1235,284,4,0.81,0.76,0
1358,429,14,0.56,0.82,1
3078,487,7,0.16,0.87,0
5166,598,3,0.23,0.68,0
11684,963,5,0.68,0.07,1
13258,1298,0,0.03,0.24,0
9891,872,6,0.33,0.86,1
3849,587,9,0.67,0.74,0
7062,831,1,0.89,0.94,0
9696,890,5,0.51,0.39,1
2568,446,3,0.31,0.34,0
12686,1166,18,0.91,0.72,0
9241,1046,4,0.84,0.82,0
8415,837,20,0.42,0.3,1
4777,446,8,0.82,0.22,0
11917,1126,17,0.78,0.5,1
9413,944,7,0.34,0.85,1
10868,952,11,0.95,0.54,1
13274,1196,19,0.06,0.57,0
5120,566,14,0.93,0.24,1
11074,994,22,0.53,0.74,0
6509,754,17,0.34,0.66,0
3240,307,20,0.53,0.37,0
5867,753,21,0.68,0.88,1
10732,1053,2,0.21,0.18,0
5587,681,10,0.08,0.19,0
10734,915,8,0.43,0.63,1
12963,1167,1,0.73,0.59,0
4699,552,0,0.01,0.82,0
12263,1194,20,0.06,0.74,0
13002,1147,3,0.85,0.44,1
10942,1169,13,0.2,0.1,0
11658,1057,19,0.79,0.86,1
2666,512,10,0.13,0.98,0
7154,647,5,0.94,0.16,0
11502,946,1,0.13,0.57,0
12612,1176,17,0.08,0.23,1
1739,284,4,0.56,0.95,1
11993,1230,18,0.49,0.98,1
12522,1263,23,0.26,0.14,0
2328,521,21,0.04,0.83,0
6092,608,3,0.64,0.59,0
12617,1267,9,0.07,0.72,0
12623,1148,9,0.49,0.65,0
8944,943,19,0.79,0.81,0
11119,970,0,0.35,0.83,0
7010,823,0,0.79,0.81,0
4092,484,0,0.29,0.25,0
2828,457,18,0.56,0.51,1
7375,877,15,0.29,0.22,0
4379,445,8,0.63,0.01,0
4724,424,1,0.54,0.79,0
4638,453,2,0.12,0.3,0
7122,886,14,0.54,0.44,1
7820,756,8,0.51,0.74,0
4838,452,10,0.21,0.93,0
11390,1159,10,0.89,0.02,0
4755,699,4,0.53,0.53,1
7457,660,7,0.95,0.65,0
6359,799,17,0.86,0.03,1
3351,559,3,0.31,0.22,0
3334,583,9,0.43,0.52,0
13466,1347,14,0.18,0.21,0
4267,648,7,0.76,0.75,1
6114,651,7,0.88,0.14,0
5792,508,5,0.38,0.34,0
3958,490,11,0.56,0.05,0
12904,1153,3,0.03,0.1,0
5577,752,23,0.02,0.33,0
2522,378,7,0.66,0.52,1
4693,660,20,0.77,0.27,0
10605,1148,8,0.66,0.5,1
11507,956,23,0.2,0.87,1
1625,389,4,0.88,0.72,0
2555,369,6,0.35,0.44,0
5050,679,1,0.17,0.77,0
13368,1262,6,0.29,0.55,0
2877,455,14,0.98,0.66,0
1925,434,8,0.56,0.14,0
4088,585,13,0.36,0.53,0
2721,396,3,0.59,0.51,0
3957,585,8,0.32,0.45,0
6717,860,20,0.75,0.15,0
8992,953,6,0.98,0.48,0
4777,630,9,0.85,0.2,0
4778,671,3,0.18,0.29,0
9176,778,20,0.86,0.61,1
4377,398,8,0.17,0.75,0
7431,728,4,0.24,0.05,0
12272,1143,15,0.28,0.26,0
4278,582,12,0.49,0.33,1
7554,634,16,0.25,0.05,0
9316,991,8,0.78,0.62,0
12240,1277,6,0.27,0.95,0
12274,1180,8,0.48,0.79,0
6961,694,19,0.71,0.87,0
3684,389,23,0.32,0.15,0
3187,510,14,0.85,0.95,1
11528,1004,13,0.73,0.06,1
2070,513,2,0.41,0.44,0
3333,370,22,0.74,0.46,0
8337,863,18,0.28,0.07,1
8850,814,0,0.77,0.34,0
8248,876,18,0.78,0.46,1
8130,739,14,0.4,0.79,0
10430,1051,21,0.91,0.75,1
1632,420,18,0.53,0.95,1
4541,684,18,0.88,0.47,1
4351,572,13,0.22,0.19,0
8435,975,3,0.74,0.14,0
10397,1108,15,0.44,0.33,0
1784,373,21,0.8,0.64,0
5896,655,13,0.52,0.81,1
11161,1047,14,0.62,0.26,0
13501,1155,18,0.23,0.65,0
11665,984,12,0.86,0.86,0
12506,1017,17,0.44,0.89,1
7450,894,12,0.23,0.81,0
13197,1299,14,0.83,0.23,1
4773,607,4,0.48,0.4,1
8419,875,11,0.01,0.01,0
2871,375,16,0.23,0.5,0
2086,451,10,0.92,0.79,0
1073,380,19,0.01,0.5,0
10514,1105,23,0.73,0.68,1
9462,858,11,0.41,0.07,0
1657,271,17,0.64,0.13,0
1428,241,5,0.91,0.18,1
7355,832,2,0.97,0.41,1
12451,1177,17,0.43,0.41,1
7609,811,15,0.81,0.3,1
9682,888,6,0.75,0.18,0
12035,1229,8,0.03,0.58,1
13687,1288,19,0.08,0.41,1
10139,1007,14,0.44,0.88,1
4435,553,18,0.55,0.26,1
12175,1206,0,0.72,0.93,1
3528,348,19,0.13,0.27,0
12269,1147,4,0.59,0.41,0
5115,684,3,0.5,0.84,1
8035,871,17,0.04,0.23,0
12897,1050,0,0.92,0.92,1
8698,917,12,0.94,0.05,1
1224,163,20,0.92,0.69,0
13664,1150,6,0.51,0.14,0
3960,429,0,0.6,0.1,0
6508,753,5,0.63,0.11,0
1379,249,11,0.26,0.81,0
10453,972,3,0.08,0.19,0
6460,677,11,0.16,0.69,0
13720,1288,10,0.42,0.61,1
5967,672,0,0.83,0.65,1
3416,577,19,0.81,0.37,0
3500,352,23,0.66,0.19,0
5698,587,0,0.41,0.3,0
9359,1017,11,0.94,0.58,1
1640,481,0,0.41,0.58,0
2862,556,18,0.13,0.79,0
1980,340,9,0.58,0.49,0
4662,625,8,0.42,0.96,1
7307,880,16,0.47,0.31,0
4102,418,4,0.64,0.46,0
11123,913,10,0.19,0.67,0
6453,581,23,0.69,0.69,0
4477,523,5,0.99,0.58,0
1881,318,18,0.74,0.46,0
9087,844,7,0.94,0.0,1
2481,377,21,0.95,0.19,0
13693,1299,23,0.69,0.94,0
11414,1070,3,0.79,0.82,0
4362,459,0,0.03,0.97,0
10037,1010,11,0.55,0.17,0
4112,482,8,0.56,0.52,0
5888,586,2,0.06,0.28,0
7500,861,10,0.86,0.49,1
6188,567,22,0.63,0.11,0
2146,453,6,0.86,0.18,1
2897,574,14,0.57,0.15,0
12396,1193,3,0.46,0.05,0
12666,1113,22,0.04,0.77,0
9531,912,3,0.86,0.16,1
1913,403,18,0.84,0.49,1
2915,394,5,0.38,0.72,1
11944,1007,10,0.93,0.91,1
11499,1218,4,0.13,0.5,1
3484,395,2,0.76,0.21,0
5145,609,22,0.04,0.65,0
1263,408,5,0.62,0.19,0
9255,988,6,0.77,0.33,1
7048,647,19,0.44,0.68,1
12985,1204,10,0.54,0.5,0
2957,475,1,0.65,0.15,0
4214,527,17,0.93,0.82,0
6924,779,23,0.1,0.53,0
7688,814,10,0.78,0.16,1
1583,347,6,0.08,0.86,0
7400,856,22,0.55,0.34,0
2713,371,8,0.07,1.0,0
10954,956,20,0.54,0.84,1
5424,552,6,0.55,0.67,0
5153,676,19,0.4,0.69,0
6823,593,16,0.32,0.26,0
6503,810,20,0.77,0.86,1
1824,352,7,0.58,0.55,0
9845,1094,18,0.29,0.64,0
5989,652,0,0.4,0.15,0
13385,1080,18,0.64,0.6,1
12134,1037,3,0.98,0.53,0
4069,365,15,0.46,0.19,0
9240,799,10,0.23,0.16,0
4387,492,12,0.8,0.46,1
3311,596,15,0.58,0.35,0
2656,332,22,0.45,0.63,0
3350,502,7,0.92,0.14,1
13404,1352,16,0.78,0.77,0
12304,990,9,0.76,0.42,1
3905,422,3,0.13,0.83,1
13498,1238,9,0.65,0.31,0
13330,1238,0,0.15,0.3,0
2199,233,21,0.69,0.39,0
1057,392,3,0.25,0.48,0
13185,1298,7,0.01,0.62,0
2561,407,20,0.95,0.39,0
9084,829,1,0.31,0.24,0
12058,1116,0,0.28,0.92,1
2234,454,17,0.34,0.42,0
11485,1026,20,0.76,0.2,1
6523,735,1,0.08,0.6,0
2358,317,16,0.98,0.54,0
8491,920,11,0.38,0.4,0
9218,854,12,0.24,0.76,0
10316,977,16,0.74,0.41,0
4122,412,18,0.9,0.66,1
9603,1021,1,0.07,0.3,1
9440,1008,1,0.78,0.71,0
4742,481,8,0.8,0.46,0
2460,400,22,0.78,0.28,1
1472,430,16,0.73,0.24,0
11361,1013,19,0.41,0.57,0
12837,1178,22,0.67,0.68,0
3433,444,15,0.16,0.86,0
12720,1097,19,0.17,0.09,1
6009,512,12,0.07,0.4,0
5728,695,0,0.36,0.59,0
8336,814,11,0.03,0.37,0
11119,1076,21,0.52,0.38,0
8036,960,3,0.2,0.97,0
9557,812,4,0.76,0.56,1
6243,728,5,0.08,0.44,0
1778,346,23,0.3,0.3,0
5728,563,22,0.68,0.32,0
2152,423,1,0.26,0.3,1
12782,1031,14,0.16,0.46,0
7340,615,11,0.78,0.22,0
11104,1138,16,0.21,0.28,0
13996,1223,15,0.47,0.48,0
5999,599,8,0.17,0.51,0
2181,313,17,0.67,0.64,0
13861,1153,4,0.75,0.5,1
2730,345,8,0.83,0.58,0
10071,1051,14,0.61,0.6,0
9274,792,18,0.31,0.85,1
10034,874,5,0.85,0.35,0
12851,1028,9,0.91,0.56,1
4074,438,10,0.79,0.94,1
5360,728,2,0.03,0.85,0
2216,424,11,0.92,0.62,0
13396,1338,23,0.42,0.32,0
1419,338,8,0.11,0.79,0
12947,1278,16,0.42,0.75,0
8921,732,3,0.42,0.58,0
1270,232,21,0.24,0.38,0
1496,376,11,0.77,0.67,1
8736,991,18,0.33,0.39,1
4304,549,9,0.86,0.37,0
3665,343,9,0.36,0.8,0
4589,686,11,0.84,0.93,1
1786,366,1,0.06,0.83,0
13232,1063,23,0.4,0.38,0
7117,877,16,0.04,0.32,0
5276,563,18,0.64,0.65,1
9626,1042,7,0.16,0.95,0
1918,289,3,0.11,0.54,0
11884,973,5,0.82,0.61,0
3980,626,2,0.26,0.51,0
6732,786,21,0.59,0.85,0
8900,1009,3,0.95,0.93,0
5229,734,22,0.19,0.38,0
13796,1129,10,0.24,0.22,0
7367,768,9,0.59,0.28,0
4747,442,7,0.29,0.14,0
8629,987,23,0.78,0.81,0
8114,701,3,0.77,0.93,1
11570,966,13,0.92,0.6,1
12006,989,11,0.44,0.49,0
1449,206,15,0.93,0.16,0
7240,652,9,0.75,0.47,1
5790,771,23,0.03,0.46,0
12675,1078,15,0.2,0.11,0
11063,1107,19,0.79,0.58,1
7110,671,3,0.48,0.87,0
6149,805,18,0.91,0.55,1
10060,1030,17,0.3,0.3,1
10133,830,21,0.39,0.52,1
5975,699,14,0.89,0.35,1
13066,1271,6,0.55,0.07,0
12748,1247,18,0.94,0.99,1
9673,826,11,0.93,0.08,0
3049,404,5,0.78,0.87,1
10745,911,12,0.71,0.78,1
10866,1129,6,0.97,0.82,1
9575,1015,21,0.69,0.37,0
5841,753,3,0.53,0.84,0
8902,909,7,0.27,0.58,1
11380,1207,20,0.62,0.77,0
2859,318,15,0.32,0.95,0
5639,625,1,0.41,0.15,1
2659,455,5,0.43,0.42,0
8871,808,14,0.79,0.5,0
4914,537,5,0.81,0.18,0
9063,841,2,0.56,0.8,1
4169,587,18,0.5,0.07,1
1756,213,13,0.47,0.69,0
7915,887,3,0.99,0.97,0
11459,1073,23,0.71,0.81,1
3583,606,6,0.95,0.77,0
5186,630,9,0.08,0.78,0
1446,417,21,0.11,0.04,0
12389,1190,11,0.91,0.55,0
1820,212,8,0.33,0.47,0
7554,899,10,0.62,0.15,0
13109,1069,0,0.77,0.93,1
12123,1213,20,0.45,0.64,0
3220,329,2,0.51,0.94,1
5673,558,0,0.72,1.0,0
8654,797,2,0.92,0.03,0
8029,875,16,0.99,0.64,1
11845,1233,3,0.8,0.61,1
2320,456,15,0.11,0.24,0
12410,1165,16,0.23,0.88,0
10893,1152,0,0.75,0.67,0
7657,846,11,0.55,0.68,0
7912,861,22,0.16,0.76,0
1631,460,12,0.86,0.68,1
4893,436,22,0.7,0.02,0
7241,723,19,0.57,0.48,1
5827,768,17,0.07,0.27,1
12012,1245,4,0.26,0.44,1
13134,1284,18,0.69,0.3,1
6106,662,3,0.67,0.47,0
8032,859,2,0.83,0.6,1
4645,495,7,0.58,0.18,0
2876,575,15,0.81,0.08,0
3205,352,12,0.34,0.81,0
10113,1053,4,0.38,0.48,1
12379,1157,21,0.08,0.11,0
9587,1053,6,0.93,0.06,1
6597,815,2,0.39,0.89,0
10846,915,19,0.94,0.01,1
1542,219,17,0.37,0.06,0
8833,838,3,0.08,0.55,0
6752,776,15,0.92,0.19,1
9366,961,10,0.73,0.7,0
9459,928,3,0.05,0.94,0
10518,943,5,0.18,0.59,0
5445,598,8,0.03,0.74,0
2404,416,18,0.63,0.69,1
10681,1112,12,0.7,0.28,0
2079,497,6,0.75,0.56,1
6528,609,9,0.22,0.81,0
12605,1252,5,0.28,0.38,1
6637,596,16,0.17,0.53,1
7781,701,14,0.94,0.0,0
2818,373,10,0.22,0.52,0
4215,452,8,0.15,0.06,0
6865,811,1,0.75,0.43,0
7128,891,5,0.32,0.03,0
13934,1350,20,0.74,0.16,1
5289,676,23,0.58,0.75,0
2178,258,23,0.44,0.91,0
4734,660,1,0.18,0.43,0
9014,783,12,0.91,0.48,0
1876,277,4,0.73,0.08,0
7845,730,3,0.02,0.21,0
4057,373,18,0.09,0.71,0
10456,965,17,0.81,0.9,0
13813,1263,7,0.99,0.68,0
9456,854,7,0.05,0.82,1
10635,1093,4,0.57,0.52,0
9669,1015,14,0.07,0.91,0
1669,339,4,0.85,0.51,0
9262,765,23,0.59,0.01,0
12043,1197,19,0.43,0.16,0
8483,713,19,0.88,0.53,1
7112,718,18,0.62,0.07,0
6286,688,2,0.23,0.86,0
11627,1065,8,0.54,0.64,0
2989,582,11,0.25,0.95,0
4361,520,8,0.04,0.37,0
9294,942,10,0.91,0.01,0
3494,374,14,0.1,0.0,0
8423,831,17,0.33,0.08,0
11338,1131,9,0.67,0.4,1
13213,1279,21,0.13,0.82,1
9124,999,10,0.24,0.51,0
2938,510,13,0.54,0.37,1
8726,982,2,0.81,0.72,1
11872,1010,13,0.15,0.97,0
13939,1350,8,0.78,0.28,1
4301,428,13,0.56,0.09,0
12400,1166,21,0.67,0.39,0
12686,1020,15,0.05,0.27,0
2900,469,9,0.83,0.87,1
1409,359,22,0.96,0.07,0
11105,899,3,0.48,0.27,0
5806,578,10,0.16,0.86,0
8602,766,19,0.22,0.38,0
11661,1085,15,0.91,0.69,1
9667,1030,11,0.19,0.53,0
4338,467,23,0.27,0.21,0
12849,1207,3,0.24,0.23,0
7692,826,8,0.2,0.24,0
10289,943,11,0.36,0.42,0
9462,868,21,0.93,0.81,1
3586,355,9,0.23,0.56,0
2978,540,16,0.55,0.27,0
2820,463,23,0.62,0.32,0
6820,755,23,0.22,0.6,0
9535,908,0,0.87,0.94,1
10794,1074,9,0.74,0.69,0
6017,511,13,0.39,0.96,0
5912,579,10,0.22,0.52,0
4804,422,20,0.95,0.03,1
11953,1232,15,0.17,0.65,0
12909,1124,23,0.02,0.16,0
6797,788,20,0.65,0.45,0
11905,1055,17,0.43,0.12,0
2248,507,13,0.07,0.11,0
13589,1299,21,0.27,0.06,0
6449,819,1,0.78,0.36,0
9389,922,1,0.3,0.49,0
6802,588,7,0.81,0.51,0
10620,1091,9,0.06,0.22,1
